,0
0,"('강원도', '보건업사회복지서비스업')"
1,"('강원도', '부동산업임대업')"
2,"('강원도', '전문과학기술서비스업')"
3,"('경상도', '공공행정국방사회보장행정')"
4,"('경상도', '보건업사회복지서비스업')"
5,"('경상도', '부동산업임대업')"
6,"('서울', '공공행정국방사회보장행정')"
7,"('서울', '교육서비스업')"
8,"('서울', '보건업사회복지서비스업')"
9,"('서울', '전기가스증기공기조절공급업')"
10,"('전라도', '건설업')"
11,"('전라도', '공공행정국방사회보장행정')"
12,"('전라도', '교육서비스업')"
13,"('전라도', '보건업사회복지서비스업')"
14,"('전라도', '숙박음식점업')"
15,"('충청도', '건설업')"
16,"('충청도', '공공행정국방사회보장행정')"
17,"('충청도', '광업')"
18,"('충청도', '교육서비스업')"
19,"('충청도', '농업임업어업')"
20,"('충청도', '보건업사회복지서비스업')"
21,"('충청도', '부동산업임대업')"
22,"('충청도', '하수폐기처리원료재생환경복원')"
23,소비자물가
24,공공서비스
25,근원물가
26,생활물가
27,소비자물가2
28,집세2
29,근원물가2
30,"('서울_생산', '전기업 및 가스업')"
31,"('서울_생산', '총지수')"
32,"('강원도_생산', '전기업 및 가스업')"
33,"('강원도_생산', '총지수')"
34,"('충청도_생산', '총지수')"
35,"('전라도_생산', '전기업 및 가스업')"
36,"('경상도_생산', '제조업')"
