Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Value-added of State-owned and State-holding Enterprises Growth Rate (The same period last year=100)(%),5.4,4.1,,,7.3,7.3,4.9,5.9,5.2,3.4,5.4,4.4,6.6,4.4,,,1.9,2.2,4.4,4.9,5.6,5.4,3.1,0.7,-2.9,3.3,,,3.3,3.6,5.2,4.5,4.6,7.2,5.4,7.7,8.6,10.9,,,6.4,5.9,5.4,6.5,5.2,4.1,4.9,2.1,0.5,-2.5,,,7.0,3.7,4.8,4.9,4.1,3.7,6.2,3.7,6.0,4.7,,,3.6,3.9,4.6,5.6,5.6,6.2,6.1,8.1,7.7,5.7,,,5.0,6.3,6.6,9.0,7.8,6.7,6.8,6.2,5.6,7.7,,,6.4,4.2,3.2,3.3,3.6,2.9,-0.1,-0.5,-0.1,3.2,,,2.6,2.8,-0.5,-1.4,-0.6,0.0,2.2,2.2,1.9,0.9,,
Value-added of State-owned and State-holding Enterprises Accumulated Growth Rate(%),5.2,5.2,5.8,,5.0,4.8,4.6,4.6,4.4,4.3,4.4,4.2,4.1,3.3,2.7,,3.3,3.5,3.7,3.6,3.4,3.1,2.7,2.6,3.1,5.0,5.9,,8.0,8.5,9.1,9.6,10.3,11.2,11.9,13.4,14.8,16.9,23.0,,2.2,1.8,1.4,0.9,0.1,-0.7,-1.5,-3.0,-4.2,-6.0,-7.9,,4.8,4.6,4.7,4.7,4.7,4.8,5.0,4.7,4.9,4.5,4.4,,6.2,6.5,6.8,7.0,7.2,7.4,7.6,7.9,7.9,7.9,9.0,,6.5,6.7,6.8,6.8,6.5,6.3,6.2,6.1,6.1,6.2,5.4,,2.0,1.5,1.2,1.0,0.7,0.3,-0.2,-0.2,-0.1,-0.1,-2.0,,1.4,1.3,1.1,1.3,1.6,1.6,1.9,1.8,1.7,1.7,2.2,
Value-added of Private Enterprises Growth Rate (The same period last year=100)(%),6.3,3.7,,,5.4,5.2,3.9,3.3,3.4,2.5,3.2,0.7,1.6,2.0,,,0.5,1.6,3.1,4.4,1.1,1.5,3.0,1.1,-1.1,6.0,,,4.7,3.9,2.4,2.8,5.2,6.1,10.2,9.1,11.2,16.8,,,7.6,6.8,8.2,7.9,5.7,4.2,4.8,7.1,7.0,-0.5,,,7.1,8.9,5.4,6.7,6.0,7.3,8.3,7.8,5.1,14.2,,,7.8,6.6,6.2,6.2,5.6,4.9,5.1,4.2,7.1,6.7,,,6.2,5.0,5.0,5.2,3.7,5.5,7.4,6.6,6.8,7.4,,,5.2,6.4,6.8,6.4,6.5,7.4,8.2,9.5,8.9,8.6,,,7.9,8.0,8.1,9.3,10.3,9.3,8.9,8.1,7.7,8.0,,
Value-added of Private Enterprises Accumulated Growth Rate(%),5.6,5.4,6.5,,3.1,2.8,2.5,2.3,2.2,2.0,1.9,1.6,1.9,2.0,2.0,,2.9,3.2,3.4,3.4,3.3,3.6,4.0,4.2,5.1,7.6,8.7,,10.2,10.9,11.8,13.1,14.7,16.3,18.3,20.4,23.9,29.7,43.8,,3.7,3.2,2.8,2.1,1.3,0.6,-0.1,-1.4,-5.6,-11.3,-20.2,,7.7,7.8,7.7,8.0,8.2,8.5,8.7,8.8,9.1,10.6,8.3,,6.2,6.0,5.9,5.9,5.8,5.8,6.0,6.2,6.7,6.6,6.6,,5.9,5.9,6.0,6.1,6.2,6.6,6.8,6.6,6.6,6.5,6.0,,7.5,7.8,8.0,8.1,8.4,8.7,8.9,9.1,9.0,9.0,9.3,,8.6,8.7,8.8,8.9,8.8,8.8,8.7,8.6,8.7,9.1,9.8,
Value-added of Collective-owned Enterprises Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,2.0,-3.6,2.0,-1.2,-2.8,-1.9,-2.9,-6.4,3.9,,,0.5,-0.7,3.6,-2.6,-2.1,-3.6,3.9,3.2,1.9,1.5,,,-11.7,-4.4,-3.8,-3.8,-4.1,-1.5,3.6,3.3,1.6,0.2,,,0.7,-0.2,-1.6,0.5,0.4,1.3,3.2,1.2,0.4,1.4,,
Value-added of Collective-owned Enterprises Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,-1.2,-1.6,-1.4,-1.9,-2.0,-1.9,-1.9,-1.6,0.1,-2.3,,0.6,0.6,0.7,0.3,0.7,1.1,1.9,1.4,0.9,0.5,-0.1,,-1.3,-0.3,0.2,0.7,1.3,2.0,2.6,2.4,2.2,2.4,3.7,,1.2,1.3,1.4,1.7,1.9,1.9,2.0,1.7,1.9,2.4,3.0,
Value-added of Cooperative Enterprises Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,-2.6,5.1,1.6,2.3,-4.4,-6.0,3.1,3.3,2.1,,,-8.6,-10.6,-6.6,-8.1,-6.9,-6.6,5.7,0.5,-1.1,4.6,,,3.6,7.6,4.4,1.6,6.9,-1.5,9.1,-0.4,6.9,11.4,,,1.3,8.0,9.6,5.5,1.0,9.1,-0.5,8.8,1.7,-4.5,,
Value-added of Cooperative Enterprises Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.2,0.5,0.0,-0.3,-0.7,-0.1,1.2,0.6,-0.5,-2.3,,-4.6,-4.2,-3.5,-3.2,-2.6,-2.0,-1.2,-2.7,-3.5,-4.5,-11.2,,6.2,6.5,6.4,6.6,7.3,7.4,8.9,8.9,11.3,12.9,13.8,,4.6,4.9,4.6,4.0,3.8,3.8,3.0,3.8,2.3,2.5,6.6,
Value-added of Share-holding Enterprise Growth Rate (The same period last year=100)(%),6.9,5.1,,,7.2,7.2,5.6,5.6,5.7,5.0,5.9,3.5,4.4,4.4,,,3.5,4.0,5.9,6.6,4.1,4.4,4.0,2.3,0.5,6.9,,,4.7,4.5,4.2,4.0,6.1,7.1,9.0,8.9,10.4,13.4,,,7.0,6.8,6.9,6.8,5.8,4.2,5.0,4.8,4.0,-0.2,,,7.5,7.0,5.4,6.9,5.3,6.1,7.6,6.6,6.3,10.0,,,7.0,6.6,6.7,6.3,6.4,6.0,6.1,6.1,7.1,6.5,,,6.7,6.2,6.1,7.1,5.8,6.7,7.7,6.8,6.9,7.9,,,6.5,6.6,6.8,6.4,6.4,6.3,7.4,7.2,7.1,7.6,,,7.1,6.9,6.6,7.2,7.6,7.7,7.8,7.5,7.4,6.8,,
Value-added of Share-holding Enterprise Accumulated Growth Rate(%),6.6,6.5,7.3,,5.3,5.1,4.9,4.8,4.7,4.5,4.4,4.1,4.3,4.3,4.3,,4.8,4.9,5.0,4.9,4.6,4.7,4.8,5.0,5.8,7.8,8.4,,9.8,10.4,11.1,12.0,13.2,14.4,15.8,17.5,19.9,23.7,34.2,,3.0,2.6,2.1,1.5,0.8,0.0,-0.8,-2.2,-4.9,-8.4,-14.2,,6.8,6.7,6.7,6.9,6.9,7.1,7.3,7.2,7.4,7.8,6.4,,6.6,6.6,6.6,6.6,6.6,6.6,6.7,6.8,7.0,7.0,7.3,,6.6,6.6,6.7,6.8,6.8,7.0,7.1,6.9,6.9,6.9,6.2,,6.9,6.9,6.9,6.9,7.0,7.1,7.2,7.2,7.2,7.2,6.9,,7.3,7.3,7.4,7.5,7.5,7.5,7.5,7.4,7.4,7.4,7.7,
