Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Value-added of Mining and Washing of Coal Growth Rate (The same period last year=100)(%),1.5,-1.6,,,5.8,5.2,3.3,1.4,1.6,0.4,2.0,-1.6,-0.6,0.7,,,3.7,5.5,3.0,7.7,5.8,11.0,11.2,8.2,13.2,16.7,,,12.2,9.6,9.2,2.9,2.3,0.3,-1.3,2.8,2.7,0.1,,,6.6,4.6,5.2,2.7,2.8,-4.0,-0.3,0.3,3.7,9.1,,,9.2,7.2,5.8,11.4,4.0,8.0,10.3,3.0,0.1,3.6,,,0.4,1.9,4.4,0.9,1.0,-0.8,2.8,3.2,2.1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Mining and Washing of Coal Accumulated Growth Rate(%),0.6,0.3,1.4,,2.4,2.0,1.6,1.4,1.5,1.5,1.6,1.5,2.3,3.3,5.0,,7.9,8.6,9.1,10.4,10.9,11.8,11.9,12.1,13.2,13.2,11.1,,6.7,6.1,5.6,5.1,5.5,6.0,7.0,9.0,10.6,13.6,27.1,,1.7,1.2,0.9,0.4,0.1,-0.3,0.4,0.5,0.6,-0.6,-8.2,,5.5,5.1,4.8,4.7,3.7,3.6,2.8,0.9,0.4,0.4,-2.0,,2.2,2.3,2.3,2.1,2.2,2.3,2.8,2.7,2.6,2.9,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Extraction of Petroleum and Natural Gas Growth Rate (The same period last year=100)(%),0.7,1.5,,,3.5,1.8,0.4,3.4,7.2,4.2,4.1,3.7,5.5,2.2,,,6.7,7.2,6.7,4.5,2.3,4.5,3.6,6.6,7.2,5.7,,,-0.7,0.4,5.7,9.2,7.0,4.4,5.1,3.2,9.5,5.7,,,6.9,1.5,3.8,3.5,2.9,0.2,8.1,3.4,-6.2,-1.3,,,2.8,3.3,1.0,4.5,2.3,5.5,3.5,3.1,3.1,4.8,,,6.7,3.0,3.2,2.6,4.8,5.7,0.9,5.3,-4.4,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Extraction of Petroleum and Natural Gas Accumulated Growth Rate(%),2.1,2.5,3.0,,3.7,3.7,3.9,4.3,4.4,4.0,3.9,3.9,4.0,3.5,4.2,,5.6,5.6,5.3,5.2,5.3,5.7,5.9,6.5,6.4,6.1,6.3,,3.9,4.7,4.9,4.8,4.2,3.9,3.8,3.5,3.3,2.1,2.8,,0.5,-0.1,-0.3,-0.7,-1.3,-1.8,-2.1,-4.0,0.1,1.3,2.1,,3.7,3.6,2.6,2.9,2.7,2.7,2.3,2.1,2.0,1.6,-0.4,,2.0,1.5,1.1,0.8,0.6,0.0,-1.0,-1.3,-3.7,-3.5,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Mining and Processing of Ferrous Metal Ores Growth Rate (The same period last year=100)(%),7.2,6.7,,,16.6,11.6,12.8,1.3,-2.1,6.1,0.0,-2.4,-0.2,5.1,,,21.0,25.8,16.7,22.3,9.6,4.0,16.2,5.8,3.8,12.2,,,2.8,-1.4,-3.4,-2.8,-1.8,-1.4,0.5,8.6,3.2,4.8,,,4.1,-5.3,-2.2,-1.4,0.0,0.1,0.9,3.6,0.3,3.3,,,-0.4,13.3,8.0,6.9,6.7,5.7,6.5,8.7,9.9,5.1,,,-2.8,-10.6,-6.5,-6.8,-5.9,-5.7,-6.3,-4.2,-5.3,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Mining and Processing of Ferrous Metal Ores Accumulated Growth Rate(%),7.3,7.2,7.7,,5.0,4.0,3.3,2.4,2.5,3.0,2.6,3.0,4.6,6.4,7.3,,13.0,12.3,11.2,10.6,9.2,9.1,10.2,8.7,9.7,12.0,11.9,,3.4,3.4,4.0,4.9,6.1,7.5,9.3,11.5,12.4,16.1,27.2,,-1.6,-2.1,-1.7,-1.6,-1.6,-1.9,-2.3,-3.1,-5.2,-7.6,-16.2,,7.1,7.8,7.2,7.0,6.9,7.0,7.3,7.4,6.9,5.7,5.4,,-4.7,-4.9,-4.4,-4.1,-3.8,-3.5,-3.1,-2.5,-2.3,-1.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Mining and Processing of Non-Ferrous Metal Ores Growth Rate (The same period last year=100)(%),15.4,9.9,,,3.8,2.7,9.5,-0.9,-0.9,-1.2,-7.8,-10.3,-10.9,-2.8,,,-1.0,-3.0,-2.1,-2.2,8.3,6.8,8.0,9.9,8.9,11.4,,,0.2,1.5,-0.8,0.2,-5.6,-9.9,-6.9,-3.8,-7.0,-0.9,,,-1.2,-0.2,2.0,1.1,0.6,2.2,-0.2,2.7,4.5,3.8,,,1.1,3.5,2.2,4.6,4.6,0.2,1.9,1.9,-1.0,1.7,,,7.8,3.6,3.4,4.0,0.4,5.3,2.9,-1.4,-0.7,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Mining and Processing of Non-Ferrous Metal Ores Accumulated Growth Rate(%),9.4,7.4,5.8,,-1.6,-2.2,-2.8,-4.1,-4.6,-5.2,-5.8,-5.3,-3.9,-1.4,-0.5,,5.2,5.9,7.0,8.3,9.9,10.1,10.8,11.4,11.9,13.1,13.8,,-1.7,-2.0,-2.3,-2.5,-3.0,-2.5,-1.1,0.5,2.6,6.4,14.2,,-0.2,-0.1,-0.1,-0.4,-0.6,-0.8,-1.4,-1.7,-3.1,-6.1,-13.1,,3.0,3.3,3.2,3.3,3.0,2.9,3.3,3.6,3.9,5.6,8.0,,1.5,0.7,0.4,0.2,-0.1,-0.2,-1.3,-2.4,-2.6,-3.3,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Mining and Processing of Nonmetal Ores Growth Rate (The same period last year=100)(%),-1.9,-2.0,,,-3.2,-2.7,-2.4,-5.9,-5.6,-10.5,-8.5,-10.7,-8.5,-6.6,,,-4.1,-5.0,-3.6,2.1,-3.6,-1.1,-1.7,-2.4,-4.5,4.2,,,5.7,4.0,-0.7,-3.6,-2.5,2.9,5.4,5.7,8.8,25.6,,,-1.5,1.4,4.3,3.9,3.7,-0.3,2.5,4.0,5.5,-6.3,,,6.5,1.2,-3.8,-2.2,-2.6,-1.4,-1.1,0.7,1.0,-2.0,,,2.0,2.1,6.5,3.9,0.1,-2.0,0.2,-4.0,-1.2,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Mining and Processing of Nonmetal Ores Accumulated Growth Rate(%),-0.1,0.6,2.4,,-5.7,-6.0,-6.4,-7.0,-7.1,-7.3,-6.7,-6.3,-5.2,-4.0,-2.2,,-1.2,-0.8,-0.3,0.1,-0.3,0.3,0.5,1.1,2.1,4.9,5.4,,7.5,7.8,8.3,9.5,11.6,14.0,16.3,19.5,24.5,32.4,41.4,,-0.6,-0.5,-0.8,-1.4,-2.2,-3.1,-3.8,-5.7,-9.3,-16.9,-25.5,,0.2,-0.6,-0.8,-0.5,-0.3,0.1,0.4,0.7,0.8,0.6,2.2,,1.4,1.3,1.2,0.5,0.0,0.0,0.3,0.3,1.4,2.4,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
