Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Number of Industrial Enterprises month-end(unit),501228,500954,500739,,482192,482932,480172,478954,477844,477076,476369,475532,475226,475037,474812,,451362,451364,449422,448218,446980,446200,445452,444885,444392,444035,443733,,408732,408731,406300,405059,403762,402857,401815,400926,400529,400150,399927,,383077,383077,380605,379220,377989,377160,376224,375153,374657,374408,374405,,372822,371517,369794,368666,367678,366962,366187,365599,365232,365083,364977,,378440,378440,376236,375296,374552,373939,373244,372698,372355,372197,372341,,385369,384153,382726,381593,380632,379887,378876,378959,378589,378390,378237,,379142,378177,377022,375383,374089,373428,372626,371819,382851,382652,382776,,374359,374362,374362,372291,371137,370251,369313,368637,368483,368301,377454,
Loss-making Enterprises month-end(unit),158834,177737,167895,,103994,116764,123424,128965,131463,135649,141255,142682,149653,163839,161892,,91222,99631,104359,108105,109259,111552,116250,117435,123551,133617,132371,,67570,75728,80393,83421,83815,86038,90228,90472,95382,108274,108461,,66313,73683,78573,83473,85883,90252,97636,100030,109993,130167,136279,,59207,65013,67991,69701,69804,71568,74749,75775,80879,86523,96551,,57291,61534,64066,65922,65904,67100,69187,69908,72279,82058,81248,,45454,49398,50417,51038,51706,53154,54891,56658,59894,65330,69822,,45008,50415,53444,55632,56162,57993,59931,61605,68769,74763,78538,,49264,54459,57068,58477,59049,60318,62084,63670,67081,72291,77058,
Loss-making Enterprises The Same Period of Previous Year(unit),157897,176825,174518,,98256,107570,113259,118118,119577,122801,128631,129744,135725,145052,143114,,71779,80736,86651,90913,91611,94819,100337,100863,106949,122015,121773,,64594,72394,78311,84330,86992,92179,100966,104309,115838,138778,145805,,55854,62415,66580,69825,70730,73356,77648,79466,85439,91882,103267,,53114,59914,63101,65301,66038,68636,71657,73347,76717,89155,89106,,53585,57590,60322,61826,62042,62454,64088,64871,68077,74041,77954,,44043,48992,51242,52842,53448,55681,57895,59706,63805,70129,74203,,44925,50317,53066,54821,55576,57159,59256,60975,68338,73963,75894,,40847,46375,49097,50833,51988,53593,55400,57403,61386,67932,76564,
Loss-making Enterprises Accumulated Growth Rate(%),0.6,0.5,-3.8,,5.8,8.5,9.0,9.2,9.9,10.5,9.8,10.0,10.3,13.0,13.1,,27.1,23.4,20.4,18.9,19.3,17.6,15.9,16.4,15.5,9.5,8.7,,4.6,4.6,2.7,-1.1,-3.7,-6.7,-10.6,-13.3,-17.7,-22.0,-25.6,,18.7,18.1,18.0,19.5,21.4,23.0,25.7,25.9,28.7,41.7,32.0,,11.5,8.5,7.7,6.7,5.7,4.3,4.3,3.3,5.4,-3.0,8.4,,6.9,6.8,6.2,6.6,6.2,7.4,8.0,7.8,6.2,10.8,4.2,,3.2,0.8,-1.6,-3.4,-3.3,-4.5,-5.2,-5.1,-6.1,-6.8,-5.9,,0.2,0.2,0.7,1.5,1.1,1.5,1.1,1.0,0.6,1.1,3.5,,20.6,17.4,16.2,15.0,13.6,12.5,12.1,10.9,9.3,6.4,0.6,
Total Current Assets month-end(100 million yuan),875207.70,868029.70,857956.00,,858703.30,879432.20,869140.00,860748.30,853750.10,841919.90,834922.90,829809.00,825538.60,820672.00,809627.20,,807645.90,820148.80,809391.40,799415.00,789968.40,779886.20,774147.20,768774.10,755520.30,746149.60,729257.30,,723908.90,732458.20,716099.30,703282.80,694429.20,680376.40,675763.80,668700.90,657652.20,647243.10,634627.80,,631504.60,641534.00,630060.00,621531.90,611610.20,601592.20,598992.50,592261.70,582066.00,573098.50,559961.60,,587317.30,594379.40,585081.70,581178.50,572849.60,565956.70,564871.30,559989.90,553527.80,548678.00,536939.70,,554165.10,563819.80,555921.90,548901.40,544842.90,538104.00,533443.10,530786.20,524777.30,515253.00,507667.50,,534323.30,539812.20,532272.00,524557.60,516599.00,508994.70,503949.70,500632.20,495645.20,488568.50,478505.10,,496173.70,495881.50,486140.70,477924.50,471023.10,463263.50,460535.60,456936.90,454637.90,449522.00,441465.40,,460717.50,466777.60,460224.30,455813.60,451540.60,446688.30,444416.40,439687.20,433387.70,427557.50,423321.20,
Total Current Assets The Same Period of Previous Year(100 million yuan),830820.60,823421.10,811742.90,,816107.10,830157.00,819705.90,809330.90,799610.60,789040.90,782845.90,775368.30,763139.20,754458.70,737604.70,,736442.20,743947.70,727886.70,714195.90,703326.00,690787.30,684066.80,677179.30,665544.70,653958.90,640128.70,,638155.00,648155.80,636323.40,631332.00,617793.50,605589.10,602408.90,595692.90,584935.90,574654.60,560767.40,,582908.20,589736.50,579412.90,573963.30,564316.60,556758.90,555760.80,550267.50,543500.10,538524.30,526896.50,,551444.60,558849.50,552311.00,545381.30,539993.40,532230.40,526706.70,522598.00,515945.80,505882.70,497514.90,,515058.20,519069.40,509036.60,500743.50,493791.20,487351.00,482994.50,480872.10,476077.90,469789.30,460626.60,,487387.60,490213.40,482432.30,475917.30,469692.70,461944.00,458989.60,455346.80,450461.30,445199.50,437076.60,,458617.20,464293.10,457427.80,453241.80,448758.00,443955.90,441542.30,436737.10,433893.40,427883.50,421308.20,,437644.60,443790.50,437888.60,432608.80,426593.60,420875.40,419211.80,415006.10,408515.90,401088.60,395417.90,
Total Current Assets Accumulated Growth Rate(%),5.3,5.4,5.7,,5.2,5.9,6.0,6.4,6.8,6.7,6.7,7.0,8.2,8.8,9.8,,9.7,10.2,11.2,11.9,12.3,12.9,13.2,13.5,13.5,14.1,13.9,,13.4,13.0,12.5,11.4,12.4,12.3,12.2,12.3,12.4,12.6,13.2,,8.3,8.8,8.7,8.3,8.4,8.1,7.8,7.6,7.1,6.4,6.3,,6.5,6.4,5.9,6.6,6.1,6.3,7.2,7.2,7.3,8.5,7.9,,7.6,8.6,9.2,9.6,10.3,10.4,10.4,10.4,10.2,9.7,10.2,,9.6,10.1,10.3,10.2,10.0,10.2,9.8,9.9,10.0,9.7,9.5,,8.2,6.8,6.3,5.4,5.0,4.3,4.3,4.6,4.8,5.1,4.8,,5.3,5.2,5.1,5.4,5.8,6.1,6.0,5.9,6.1,6.6,7.1,
Accounts Receivable month-end(100 million yuan),236074.50,233264.40,229908.40,,237155.10,245890.00,242086.50,237525.90,234123.50,231123.50,227155.60,223678.90,219375.80,215876.30,212345.80,,216466.20,223159.00,218801.60,212403.10,209771.50,206923.10,201901.90,197520.40,191963.80,191609.60,188394.70,,188730.00,195415.50,189007.50,183227.30,181225.60,178413.70,175640.50,174390.70,168843.20,165947.60,162791.70,,164128.60,172811.40,167688.20,162369.60,159687.00,155876.60,153447.20,151287.50,144290.30,140355.90,137973.60,,,,,,,,,,,,,,143418.20,149521.80,146250.10,142432.30,140645.50,139335.60,137294.60,134836.10,132911.90,127677.50,125664.20,,134778.00,138547.20,135412.50,132281.30,129750.10,128590.90,126495.80,125504.90,123589.10,120404.40,117926.80,,125800.20,129290.80,125825.10,122180.00,119443.60,118066.30,116184.70,114673.80,112936.00,110319.00,107731.10,,114546.90,118477.80,114952.30,112395.40,110292.60,108136.10,107951.60,105983.90,103425.10,101651.60,99918.30,
Accounts Receivable The Same Period of Previous Year(100 million yuan),219430.70,215520.60,211623.60,,220454.30,227546.10,223344.40,216583.10,213817.90,210651.40,205295.30,200174.80,194824.60,194530.80,191407.50,,192718.00,198887.30,192595.30,186341.80,184054.90,181133.10,177714.80,176625.90,170771.20,167517.30,164043.60,,166644.90,175139.20,169860.10,164309.20,161610.90,157510.70,155230.60,152881.60,145557.20,141711.10,139839.10,,142562.80,148306.30,144637.70,142044.50,139437.00,136691.60,136200.70,133836.10,131255.70,130833.00,122959.00,,,,,,,,,,,,,,132060.80,135605.70,131901.30,128518.40,126071.60,124916.80,122918.00,121945.30,119999.30,116732.50,114584.00,,124172.00,128172.40,124964.60,121610.70,119008.00,117559.30,115642.30,114044.00,111682.60,108974.30,106343.70,,114774.50,118586.10,115002.90,112389.10,110105.80,107938.10,107588.00,105593.40,103764.70,101894.80,99605.50,,106151.00,109913.20,106421.30,104108.80,102180.30,100471.30,100090.40,97433.70,95261.30,92979.90,90171.70,
Accounts Receivable Accumulated Growth Rate(%),7.6,8.2,8.6,,7.6,8.1,8.4,9.7,9.5,9.7,10.6,11.7,12.6,11.0,10.9,,12.3,12.2,13.6,14.0,14.0,14.2,13.6,11.8,12.4,14.4,14.8,,13.3,11.6,11.3,11.5,12.1,13.3,13.1,14.1,16.0,17.1,16.4,,15.1,16.5,15.9,14.3,14.5,14.0,12.7,13.0,9.9,7.3,12.2,,,,,,,,,,,,,,8.6,10.3,10.9,10.8,11.6,11.5,11.7,10.6,10.8,9.4,9.7,,8.5,8.1,8.4,8.8,9.0,9.4,9.4,10.0,10.7,10.5,10.9,,9.6,9.0,9.4,8.7,8.5,9.4,8.0,8.6,8.8,8.3,8.2,,7.9,7.8,8.0,8.0,7.9,7.6,7.9,8.8,8.6,9.3,10.8,
