date, pm25, pm10, no2, so2, co
2024/5/1, 59, 104, 13, 3, 2
2024/5/2, 90, 50, 15, 3, 2
2024/5/3, 60, 57, 18, 4, 3
2024/5/4, 71, 60, 12, 3, 2
2024/5/5, 77, 70, 9, 3, 2
2024/5/6, 78, 34, 11, 4, 2
2024/5/7, 60, 32, 14, 3, 2
2024/5/8, 47, 30, 10, 3, 1
2024/5/9, 44, 41, 11, 3, 1
2024/5/10, 44, 30, 8, 3, 4
2024/5/11, 41, 151, 12, 4, 3
2024/5/12, 142, 50, 10, 3, 1
2024/5/13, 65, 52, 13, 5, 2
2024/5/14, 72, 56, 20, 4, 5
2024/5/15, 91, 74, 21, 3, 3
2024/5/16, 102, 105, 14, 4, 2
2024/5/17, 113, 48, 11, 4, 2
2024/5/18, 63, 46, 17, 4, 3
2024/5/19, 62, 45, 12, 4, 3
2024/5/20, 63, 24, 8, 3, 1
2024/5/21, 47, 25, 11, 4, 2
2024/5/22, 42, 27, 11, 4, 2
2024/5/23, 49, 18, 9, 4, 2
2024/5/24, 34, 39, 15, 4, 2
2024/5/25, 57, 34, 13, 4, 1
2024/5/26, 53, 88, 6, 3, 1
2024/5/27, 57, 29, 12, 4, 2
2024/5/28, 42, , , , 
2024/4/30, , 46, 17, 3, 3
