"날짜","종가","시가","고가","저가","거래량","변동 %"
"2015- 02- 02","3,128.30","3,148.14","3,175.13","3,122.57","25.09B","-2.56%"
"2015- 01- 30","3,210.36","3,273.75","3,288.50","3,210.31","25.83B","-1.59%"
"2015- 01- 29","3,262.30","3,259.00","3,286.79","3,234.24","27.47B","-1.31%"
"2015- 01- 28","3,305.74","3,325.72","3,354.80","3,294.65","30.19B","-1.41%"
"2015- 01- 27","3,352.96","3,389.85","3,390.22","3,290.22","37.45B","-0.89%"
"2015- 01- 26","3,383.18","3,347.26","3,384.80","3,321.31","31.75B","0.94%"
"2015- 01- 23","3,351.76","3,357.10","3,406.79","3,328.29","36.62B","0.25%"
"2015- 01- 22","3,343.34","3,327.32","3,352.38","3,293.98","35.34B","0.59%"
"2015- 01- 21","3,323.61","3,189.09","3,337.00","3,178.34","41.10B","4.74%"
"2015- 01- 20","3,173.05","3,114.56","3,190.25","3,100.48","35.71B","1.82%"
"2015- 01- 19","3,116.35","3,189.73","3,262.21","3,095.07","40.11B","-7.70%"
"2015- 01- 16","3,376.49","3,343.60","3,400.32","3,340.49","33.99B","1.20%"
"2015- 01- 15","3,336.45","3,224.07","3,337.08","3,207.55","28.25B","3.54%"
"2015- 01- 14","3,222.44","3,242.34","3,268.48","3,193.98","24.02B","-0.40%"
"2015- 01- 13","3,235.30","3,223.54","3,259.39","3,214.41","23.07B","0.19%"
"2015- 01- 12","3,229.32","3,258.21","3,275.19","3,191.58","32.21B","-1.71%"
"2015- 01- 09","3,285.41","3,276.97","3,404.83","3,267.51","41.02B","-0.24%"
"2015- 01- 08","3,293.46","3,371.96","3,381.57","3,285.10","37.11B","-2.39%"
"2015- 01- 07","3,373.95","3,326.65","3,374.90","3,312.21","39.19B","0.67%"
"2015- 01- 06","3,351.45","3,330.80","3,394.22","3,303.18","50.17B","0.03%"
"2015- 01- 05","3,350.52","3,258.63","3,369.28","3,253.88","53.14B","3.58%"
